location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
509 Harrison,5,18,,19,
509 Harrison,,52,,,
509 Harrison,5,18,,19,
509 Harrison,,52,,,
1513 Harnwell,15,12,,13,
1513 Harnwell,,52,,,
1513 Harnwell,15,12,,13,
1513 Harnwell,,52,,,
1513 Harnwell,15,12,,13,
1513 Harnwell,,52,,,
606 Lauder College House,,48,,,
709 Lauder College House,,48,,,
238 Hill,,29,,,
2007 Harnwell,20,15,,,
2007 Harnwell,,52,,,
2007 Harnwell,20,15,,,
2007 Harnwell,,52,,,
2007 Harnwell,20,15,,,
2007 Harnwell,,52,,,
1509 Rodin,15,39,,40,
1509 Rodin,,52,,,
1509 Rodin,15,39,,40,
1509 Rodin,,52,,,
304 Hill,,29,,,
707 Harnwell,7,8,,9,
707 Harnwell,,52,,,
707 Harnwell,7,8,,9,
707 Harnwell,,52,,,
252E Stouffer,,52,,,
426 Hill,,29,,,
246 Hill,,29,,,
203 Harrison,2,49,,,
203 Harrison,,52,,,
,,52,,,
,,52,,,
1103 Harrison,11,21,,22,
1103 Harrison,,52,,,
1103 Harrison,11,21,,22,
1103 Harrison,,52,,,
510 Hill,,29,,,
410 Lauder College House,,48,,,
1606 Harrison,16,24,,,
1606 Harrison,,52,,,
1606 Harrison,16,24,,,
1606 Harrison,,52,,,
1606 Harrison,16,24,,,
1606 Harrison,,52,,,
561 Hill,,29,,,
415 Van Pelt,,50,,,
212 English House,,52,,,
212 English House,,52,,,
212 English House,,52,,,
212 English House,,52,,,
212 English House,,52,,,
212 English House,,52,,,
,,52,,,
,,52,,,
416 Van Pelt,,50,,,
1009 Rodin,10,37,,,
1009 Rodin,,52,,,
,,52,,,
,,52,,,
2014 Rodin,20,42,,,
2014 Rodin,,52,,,
1209 Harnwell,12,11,,,
1209 Harnwell,,52,,,
1209 Harnwell,12,11,,,
1209 Harnwell,,52,,,
305 Hill,,29,,,
716 Harrison,7,19,,20,
716 Harrison,,52,,,
716 Harrison,7,19,,20,
716 Harrison,,52,,,
340 Kings Court,,52,,,
713 Harnwell,7,8,,9,
713 Harnwell,,52,,,
713 Harnwell,7,8,,9,
713 Harnwell,,52,,,
517 Lauder College House,,48,,,
517 Lauder College House,,48,,,
126B Stouffer,,52,,,
507 Rodin,5,34,,35,
507 Rodin,,52,,,
507 Rodin,5,34,,35,
507 Rodin,,52,,,
507 Rodin,5,34,,35,
507 Rodin,,52,,,
912 Rodin,9,36,,37,
912 Rodin,,52,,,
912 Rodin,9,36,,37,
912 Rodin,,52,,,
,,52,,,
1303 Harrison,13,22,,23,
1303 Harrison,,52,,,
1303 Harrison,13,22,,23,
1303 Harrison,,52,,,
203 English House,,52,,,
277 Hill,,29,,,
277 Hill,,29,,,
277 Hill,,29,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
320 Sansom Place East,,45,,,
2308 Harnwell,23,16,,17,
2308 Harnwell,,52,,,
222 Kings Court,,52,,,
222 Kings Court,,52,,,
411 Hill,,29,,,
309 Mayer Hall,,31,,,
430 Hill,,29,,,
1208 Harnwell,12,11,,,
1208 Harnwell,,52,,,
2112 Harnwell,21,15,,16,
2112 Harnwell,,52,,,
2112 Harnwell,21,15,,16,
2112 Harnwell,,52,,,
308 English House,,52,,,
703 Harnwell,7,8,,9,
703 Harnwell,,52,,,
703 Harnwell,7,8,,9,
703 Harnwell,,52,,,
2115 Rodin,21,42,,43,
2115 Rodin,,52,,,
2115 Rodin,21,42,,43,
2115 Rodin,,52,,,
302 Lauder College House,,48,,,
2108 Harnwell,21,15,,16,
2108 Harnwell,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
415 English House,,52,,,
602 Lauder College House,,48,,,
604 Harrison,6,19,,,
604 Harrison,,52,,,
349 Kings Court,,52,,,
349 Kings Court,,52,,,
109 Kings Court,,52,,,
340 Hill,,29,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
414 Van Pelt,,50,,,
414 Van Pelt,,50,,,
108 Harrison,1,20,,,
108 Harrison,,52,,,
,,52,,,
104 Brooks,,52,,,
1608 Rodin,16,40,,,
1608 Rodin,,52,,,
1812 Sansom Place East,,45,,,
2106 Rodin,21,42,,43,
2106 Rodin,,52,,,
2106 Rodin,21,42,,43,
2106 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
103 Kings Court,,52,,,
1003 Harnwell,10,10,,,
1003 Harnwell,,52,,,
449 Kings Court,,52,,,
449 Kings Court,,52,,,
265F Stouffer,,52,,,
228 Hill,,29,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1011 Harnwell,10,10,,,
1011 Harnwell,,52,,,
617 Lauder College House,,48,,,
406 Class of 25,,52,,,
406 Class of 25,,52,,,
406 Class of 25,,52,,,
510 Lauder College House,,48,,,
713 Harrison,7,19,,20,
713 Harrison,,52,,,
713 Harrison,7,19,,20,
713 Harrison,,52,,,
2401 Harnwell,24,17,,,
2401 Harnwell,,52,,,
2401 Harnwell,24,17,,,
2401 Harnwell,,52,,,
1009 Harrison,10,21,,,
1009 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
103A Stouffer,,52,,,
401 Hill,,29,,,
1413 Harnwell,14,12,,,
1413 Harnwell,,52,,,
544 Hill,,29,,,
544 Hill,,29,,,
545 Hill,,29,,,
545 Hill,,29,,,
708 Harnwell,7,8,,9,
708 Harnwell,,52,,,
708 Harnwell,7,8,,9,
708 Harnwell,,52,,,
203 Van Pelt,,50,,,
203 Van Pelt,,50,,,
,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
509 Lauder College House,,48,,,
417 English House,,52,,,
417 English House,,52,,,
503 Harnwell,5,7,,8,
